Lat;Lon;Time Range;Apparent Fishing hours
71,3;21,7;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;27,406944
71,3;21,8;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;32,269167
71,2;21,7;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;44,703333
71;21,8;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;4,490556
71,6;25;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;2,868333
70,7;23,4;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;37,999444
70,7;23,3;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;6,955833
71,3;24,5;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;142,719722
71,3;24,6;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;89,843889
71,5;24,9;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;48,933889
71,4;25,1;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;104,970833
71,4;25,2;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;86,802222
67,3;11,8;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;61,963056
70,7;21;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;6,153889
70,2;21;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;57,499167
70,5;21,3;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;7,026111
69,4;15,9;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;249,187778
68,1;13,4;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;29,699167
70;17,4;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;19,220278
70;17,5;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;19,691944
70;17,6;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;46,691944
70;17,8;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;32,400833
70;18;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;39,563889
69,2;14,8;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;105,025
69,1;14,4;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;144,447778
69,2;14,4;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;22,411389
70,9;26;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;50,778889
69;13,6;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;32,567222
69,4;15,2;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;11,389167
71,5;16,6;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;13,011944
71,4;16,7;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;16,255556
71,3;16,8;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;7,011389
70,9;17,5;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;29,440556
70,8;17,5;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;25,463611
70,8;17,6;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;26,7825
70,6;17,6;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;28,326944
70,9;17,8;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;20,692222
70,9;17,9;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;19,173056
70,8;17,8;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;27,362778
70,5;17,5;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;42,408889
70,5;17,6;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;36,325
68,5;11,7;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;7,506944
68,6;12;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;17,189722
71,4;23,8;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;25,211389
71,3;24,1;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;85,200556
71,5;24,3;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;15,486111
69,1;14,8;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;4,407778
69;14,6;2023-01-14T00:00:00.000Z,2023-02-13T00:00:00.000Z;56,931389
